rank,fold,model,seed,prevalence,auroc,ap,repeat_seed
Species,0,cnn_avgpool,13,0.057973664959765914,0.5445498622974192,0.06318666464209755,202
Species,0,cnn_avgpool,21,0.057973664959765914,0.5266228051641684,0.061994664919201234,202
Species,1,cnn_avgpool,42,0.05792070162616481,0.5191030388166799,0.056595534177023024,202
Species,1,cnn_avgpool,123,0.05792070162616481,0.5905948905198807,0.07349295610456821,202
Species,1,cnn_avgpool,7,0.05792070162616481,0.5111841767148867,0.05510460376288901,202
Species,1,cnn_avgpool,13,0.05792070162616481,0.5719923252564162,0.06723069254643504,202
Species,1,cnn_avgpool,21,0.05792070162616481,0.5450193704067174,0.06455313837015003,202
Species,2,cnn_avgpool,42,0.05789186237028946,0.5071752802843861,0.05372676509438464,202
Species,2,cnn_avgpool,123,0.05789186237028946,0.5860669036550907,0.07013777925871459,202
Species,2,cnn_avgpool,7,0.05789186237028946,0.5007531978245678,0.05346618969024622,202
Species,2,cnn_avgpool,13,0.05789186237028946,0.5683398657065597,0.06612097384148187,202
Species,2,cnn_avgpool,21,0.05789186237028946,0.5403840427794488,0.0641463489394879,202
Species,3,cnn_avgpool,42,0.05818181818181818,0.521178511100386,0.05615942494140814,202
Species,3,cnn_avgpool,123,0.05818181818181818,0.5672994087837838,0.06835387269757437,202
Species,3,cnn_avgpool,7,0.05818181818181818,0.5067072876447877,0.054963932175642875,202
Species,3,cnn_avgpool,13,0.05818181818181818,0.5516361003861003,0.06595199317245057,202
Species,3,cnn_avgpool,21,0.05818181818181818,0.5225099541505791,0.06218639492305618,202
Species,4,cnn_avgpool,42,0.058424425179042595,0.5107808827707327,0.05501448927996605,202
Species,4,cnn_avgpool,123,0.058424425179042595,0.5684231255972519,0.06811218510288707,202
Species,4,cnn_avgpool,7,0.058424425179042595,0.501500555282936,0.05415476720211811,202
