rank,fold,test_n,test_pos,prevalence,model,seed,auroc,ap,repeat_seed
Genus,0,5471,320,0.058490221166148784,tiny_mlp,123,0.8800287565521258,0.43636648192054317,101
Genus,0,5471,320,0.058490221166148784,tiny_mlp,7,0.914856338575034,0.43221470197088097,101
Genus,0,5471,320,0.058490221166148784,tiny_mlp,13,0.8739589400116481,0.4480717801300635,101
Genus,0,5471,320,0.058490221166148784,tiny_mlp,21,0.8761739225393127,0.44469863751131833,101
Genus,1,5476,320,0.05843681519357195,tiny_mlp,42,0.8738066088052754,0.2422919959045819,101
Genus,1,5476,320,0.05843681519357195,tiny_mlp,123,0.8690688033359194,0.24124657098836255,101
Genus,1,5476,320,0.05843681519357195,tiny_mlp,7,0.8741375339410397,0.24952921567255193,101
Genus,1,5476,320,0.05843681519357195,tiny_mlp,13,0.8741157147013188,0.24007245001117497,101
Genus,1,5476,320,0.05843681519357195,tiny_mlp,21,0.8748466592319626,0.25094507209193956,101
Genus,2,5495,320,0.05823475887170155,tiny_mlp,42,0.9077161835748794,0.5229795005475862,101
Genus,2,5495,320,0.05823475887170155,tiny_mlp,123,0.89318538647343,0.5127324282765966,101
Genus,2,5495,320,0.05823475887170155,tiny_mlp,7,0.8948623188405798,0.5055971149862083,101
Genus,2,5495,320,0.05823475887170155,tiny_mlp,13,0.9096171497584542,0.5197955177243094,101
Genus,2,5495,320,0.05823475887170155,tiny_mlp,21,0.9149788647342995,0.5410028924978699,101
Genus,3,5500,320,0.05818181818181818,tiny_mlp,42,0.8937584459459461,0.38018252553258264,101
Genus,3,5500,320,0.05818181818181818,tiny_mlp,123,0.8845837355212354,0.3648947342649216,101
Genus,3,5500,320,0.05818181818181818,tiny_mlp,7,0.8900452461389962,0.37762014600012705,101
Genus,3,5500,320,0.05818181818181818,tiny_mlp,13,0.8996157094594596,0.3850660252023114,101
Genus,3,5500,320,0.05818181818181818,tiny_mlp,21,0.8872653233590735,0.35860769403752285,101
Genus,4,5306,310,0.058424425179042595,tiny_mlp,42,0.877243084790413,0.38217785989391045,101
Genus,4,5306,310,0.058424425179042595,tiny_mlp,123,0.8749819210206876,0.3789904024084767,101
Genus,4,5306,310,0.058424425179042595,tiny_mlp,7,0.8539870606162349,0.2767901736108074,101
Genus,4,5306,310,0.058424425179042595,tiny_mlp,13,0.8639892559208657,0.33692648075937504,101
Genus,4,5306,310,0.058424425179042595,tiny_mlp,21,0.8699495079934916,0.35225305869498436,101
Family,0,5471,320,0.058490221166148784,tiny_mlp,42,0.9666339060376626,0.6943566392756203,101
Family,0,5471,320,0.058490221166148784,tiny_mlp,123,0.9658373374102116,0.7204167703186762,101
Family,0,5471,320,0.058490221166148784,tiny_mlp,7,0.9661540234905843,0.7138624598241592,101
Family,0,5471,320,0.058490221166148784,tiny_mlp,13,0.9694118860415453,0.7605322523319544,101
Family,0,5471,320,0.058490221166148784,tiny_mlp,21,0.9622227480100951,0.6724528561555071,101
Family,1,5476,320,0.05843681519357195,tiny_mlp,42,0.9419529431730024,0.4139784910590287,101
Family,1,5476,320,0.05843681519357195,tiny_mlp,123,0.9415195888285492,0.40987210334192564,101
Family,1,5476,320,0.05843681519357195,tiny_mlp,7,0.9408850126066719,0.41174806943271425,101
Family,1,5476,320,0.05843681519357195,tiny_mlp,13,0.9441130479053531,0.40302066517030377,101
Family,1,5476,320,0.05843681519357195,tiny_mlp,21,0.9461816330488749,0.4586632371936014,101
Family,2,5495,320,0.05823475887170155,tiny_mlp,42,0.9824541062801931,0.8681979356766928,101
Family,2,5495,320,0.05823475887170155,tiny_mlp,123,0.9801992753623189,0.8463779309612761,101
Family,2,5495,320,0.05823475887170155,tiny_mlp,7,0.9826201690821256,0.8647251992694585,101
